Frequency (MHz),Port 1 Out (dB),Port 1 In (dB),Port 2 Out (dB),Port 2 In (dB),Port 3 Out (dB),Port 3 In (dB),Port 4 Out (dB),Port 4 In (dB)
699,0,0,0,0,0,0,0,0
700.1,0,0,0,0,0,0,0,0
701.3,0,0,0,0,0,0,0,0
702.4,0,0,0,0,0,0,0,0
703.5,0,0,0,0,0,0,0,0
703.7,0,0,0,0,0,0,0,0
704,0,0,0,0,0,0,0,0
704.6,0,0,0,0,0,0,0,0
704.7,0,0,0,0,0,0,0,0
705.1,0,0,0,0,0,0,0,0
705.4,0,0,0,0,0,0,0,0
705.8,0,0,0,0,0,0,0,0
706.1,0,0,0,0,0,0,0,0
706.5,0,0,0,0,0,0,0,0
706.8,0,0,0,0,0,0,0,0
706.9,0,0,0,0,0,0,0,0
707.5,0,0,0,0,0,0,0,0
707.9,0,0,0,0,0,0,0,0
708,0,0,0,0,0,0,0,0
708.2,0,0,0,0,0,0,0,0
708.9,0,0,0,0,0,0,0,0
709.1,0,0,0,0,0,0,0,0
709.3,0,0,0,0,0,0,0,0
709.6,0,0,0,0,0,0,0,0
710.3,0,0,0,0,0,0,0,0
710.7,0,0,0,0,0,0,0,0
711,0,0,0,0,0,0,0,0
711.4,0,0,0,0,0,0,0,0
711.7,0,0,0,0,0,0,0,0
712.4,0,0,0,0,0,0,0,0
712.5,0,0,0,0,0,0,0,0
712.8,0,0,0,0,0,0,0,0
713.1,0,0,0,0,0,0,0,0
713.5,0,0,0,0,0,0,0,0
713.6,0,0,0,0,0,0,0,0
713.8,0,0,0,0,0,0,0,0
714.5,0,0,0,0,0,0,0,0
714.8,0,0,0,0,0,0,0,0
714.9,0,0,0,0,0,0,0,0
715.9,0,0,0,0,0,0,0,0
716.3,0,0,0,0,0,0,0,0
717.7,0,0,0,0,0,0,0,0
719.1,0,0,0,0,0,0,0,0
720.5,0,0,0,0,0,0,0,0
721.9,0,0,0,0,0,0,0,0
723.3,0,0,0,0,0,0,0,0
724.1,0,0,0,0,0,0,0,0
724.7,0,0,0,0,0,0,0,0
725.6,0,0,0,0,0,0,0,0
728.6,0,0,0,0,0,0,0,0
729,0,0,0,0,0,0,0,0
730.1,0,0,0,0,0,0,0,0
731.3,0,0,0,0,0,0,0,0
731.6,0,0,0,0,0,0,0,0
732.4,0,0,0,0,0,0,0,0
733.1,0,0,0,0,0,0,0,0
733.5,0,0,0,0,0,0,0,0
734,0,0,0,0,0,0,0,0
734.6,0,0,0,0,0,0,0,0
734.7,0,0,0,0,0,0,0,0
735.3,0,0,0,0,0,0,0,0
735.4,0,0,0,0,0,0,0,0
735.8,0,0,0,0,0,0,0,0
736.1,0,0,0,0,0,0,0,0
736.8,0,0,0,0,0,0,0,0
736.9,0,0,0,0,0,0,0,0
737.5,0,0,0,0,0,0,0,0
737.6,0,0,0,0,0,0,0,0
738,0,0,0,0,0,0,0,0
738.2,0,0,0,0,0,0,0,0
738.9,0,0,0,0,0,0,0,0
739.1,0,0,0,0,0,0,0,0
739.6,0,0,0,0,0,0,0,0
740.3,0,0,0,0,0,0,0,0
740.6,0,0,0,0,0,0,0,0
741,0,0,0,0,0,0,0,0
741.4,0,0,0,0,0,0,0,0
741.7,0,0,0,0,0,0,0,0
742.1,0,0,0,0,0,0,0,0
742.4,0,0,0,0,0,0,0,0
742.5,0,0,0,0,0,0,0,0
743.1,0,0,0,0,0,0,0,0
743.6,0,0,0,0,0,0,0,0
743.8,0,0,0,0,0,0,0,0
744.5,0,0,0,0,0,0,0,0
744.8,0,0,0,0,0,0,0,0
745.1,0,0,0,0,0,0,0,0
745.9,0,0,0,0,0,0,0,0
746.4,0,0,0,0,0,0,0,0
746.6,0,0,0,0,0,0,0,0
747,0,0,0,0,0,0,0,0
747.3,0,0,0,0,0,0,0,0
747.6,0,0,0,0,0,0,0,0
748.2,0,0,0,0,0,0,0,0
